Player,Pos,Tm,Total Rebounds,Asists,Steals,Blocks,Points
Paul Millsap (PF),PF,ATL,533,252,90,62,1246
Nikola Mirotic (PF),PF,CHI,384,75,53,56,744
Greg Monroe (C),C,MIL,532,187,92,38,951
E'Twaun Moore (SG),SG,NOP,152,164,50,32,700
Marcus Morris (SF),SF,DET,366,160,52,25,1105
Markieff Morris (PF),PF,WAS,492,126,82,42,1063
Anthony Morrow (SG),SG,TOT,62,50,48,4,542
Donatas Motiejunas (PF),PF,NOP,101,34,18,11,150
Timofey Mozgov (C),C,LAL,264,43,16,31,401
Emmanuel Mudiay (PG),PG,DEN,178,217,41,13,603
Shabazz Muhammad (SF),SF,MIN,220,35,22,6,772
Dejounte Murray (PG),PG,SAS,42,48,8,6,130
Jamal Murray (SG),SG,DEN,214,170,52,24,811
Mike Muscala (C),C,ATL,240,95,30,41,435
Larry Nance (PF),PF,LAL,369,96,82,40,449
Shabazz Napier (PG),PG,POR,61,67,32,2,218
Maurice Ndour (PF),PF,NYK,64,8,15,8,98
Gary Neal (SG),SG,ATL,1,1,0,0,4
Jameer Nelson (PG),PG,DEN,192,385,53,8,687
Raul Neto (PG),PG,UTA,30,34,21,5,100
Georges Niang (PF),PF,IND,17,5,3,0,21
Andrew Nicholson (PF),PF,TOT,122,20,32,12,200
Joakim Noah (C),C,NYK,402,103,30,37,232
Nerlens Noel (C),C,TOT,588,100,130,102,890
Lucas Nogueira (C),C,TOR,243,42,52,90,253
Steve Novak (PF),PF,MIL,3,0,0,0,5
Dirk Nowitzki (PF),PF,DAL,353,82,30,38,769
Jusuf Nurkic (C),C,TOT,934,246,100,148,1324
David Nwaba (SG),SG,LAL,62,14,13,7,120
Johnny O'Bryant (PF),PF,TOT,38,12,0,2,76
Kyle O'Quinn (C),C,NYK,439,117,36,104,496
Daniel Ochefu (C),C,WAS,22,3,2,0,24
Jahlil Okafor (C),C,PHI,240,58,20,49,590
Victor Oladipo (SG),SG,OKC,291,176,78,21,1067
Kelly Olynyk (C),C,BOS,360,148,43,29,678
Arinze Onuaku (C),C,ORL,6,2,0,1,4
Chinanu Onuaku (C),C,HOU,10,3,3,1,14
Kelly Oubre (SF),SF,WAS,260,47,58,17,501
Zaza Pachulia (C),C,GSW,410,132,59,33,426
Georgios Papagiannis (C),C,SAC,86,20,3,17,124
Jabari Parker (PF),PF,MIL,314,142,51,22,1025
Tony Parker (PG),PG,SAS,113,285,33,2,638
Chandler Parsons (SF),SF,MEM,84,55,20,5,210
Lamar Patterson (SG),SG,ATL,7,6,1,0,9
Patrick Patterson (PF),PF,TOR,291,76,40,23,445
Chris Paul (PG),PG,LAC,304,563,118,8,1104
Adreian Payne (PF),PF,MIN,33,7,8,7,63
Cameron Payne (PG),PG,TOT,96,110,28,10,320
Elfrid Payton (PG),PG,ORL,387,529,88,40,1046
Gary Payton (PG),PG,MIL,12,13,3,4,20
Paul Pierce (SF),SF,LAC,48,10,4,5,81
Marshall Plumlee (C),C,NYK,51,10,4,4,40
Mason Plumlee (C),C,TOT,1212,568,138,184,1684
Miles Plumlee (C),C,TOT,190,42,36,26,226
Jakob Poeltl (C),C,TOR,165,12,17,20,165
Otto Porter (SF),SF,WAS,515,121,116,41,1075
Bobby Portis (PF),PF,CHI,296,35,16,11,437
Kristaps Porzingis (PF),PF,NYK,475,97,47,130,1196
Dwight Powell (C),C,DAL,306,49,61,39,516
Norman Powell (SG),SG,TOR,168,82,51,14,636
Alex Poythress (PF),PF,PHI,29,5,3,2,64
Ronnie Price (PG),PG,PHO,11,18,11,1,14
Tim Quarterman (SG),SG,POR,14,11,2,3,31
Chasson Randle (PG),PG,TOT,64,68,18,4,274
Julius Randle (PF),PF,LAL,636,264,49,37,975
Zach Randolph (PF),PF,MEM,598,122,38,10,1028
J.J. Redick (SG),SG,LAC,171,110,55,13,1173
Willie Reed (C),C,MIA,332,26,18,47,374
Josh Richardson (SG),SG,MIA,168,140,60,39,539
Malachi Richardson (SG),SG,SAC,23,11,5,1,79
Austin Rivers (SG),SG,LAC,161,204,48,10,889
Andre Roberson (SF),SF,OKC,402,79,94,79,522
Brian Roberts (PG),PG,CHO,39,52,9,1,142
Glenn Robinson (SF),SF,IND,245,47,41,20,419
Thomas Robinson (PF),PF,LAL,223,31,26,9,241
Sergio Rodriguez (PG),PG,PHI,157,344,48,4,530
Rajon Rondo (PG),PG,CHI,355,461,99,11,538
Derrick Rose (PG),PG,NYK,246,283,44,17,1154
Terrence Ross (SF),SF,TOT,414,176,176,66,1716
Terry Rozier (PG),PG,BOS,227,131,45,11,410
Ricky Rubio (PG),PG,MIN,305,682,128,10,836
Damjan Rudez (SF),SF,ORL,25,20,12,1,82
Brandon Rush (SG),SG,MIN,99,45,22,23,197
D'Angelo Russell (PG),PG,LAL,222,303,87,16,984
Domantas Sabonis (PF),PF,OKC,287,82,39,32,479
Larry Sanders (C),C,CLE,4,0,1,1,4
Dario Saric (PF),PF,PHI,513,182,57,30,1040
Tomas Satoransky (SG),SG,WAS,83,92,26,6,154
Dennis Schroder (PG),PG,ATL,248,499,74,16,1414
Luis Scola (PF),PF,BRK,139,37,14,4,184
Mike Scott (PF),PF,ATL,37,17,4,3,45
Thabo Sefolosha (SF),SF,ATL,270,107,96,31,444
Wayne Selden (SG),SG,TOT,32,26,12,2,142
Kevin Seraphin (PF),PF,IND,142,23,7,20,232
Ramon Sessions (PG),PG,CHO,73,129,26,3,312
Iman Shumpert (SG),SG,CLE,219,109,62,27,567
Pascal Siakam (PF),PF,TOR,185,17,26,45,229
Jonathon Simmons (SG),SG,SAS,160,126,47,25,483
Kyle Singler (SF),SF,OKC,48,9,7,5,88
Marcus Smart (SG),SG,BOS,306,364,125,34,835
Ish Smith (PG),PG,DET,235,418,61,33,758
J.R. Smith (SG),SG,CLE,113,62,40,11,351
Jason Smith (C),C,WAS,258,37,21,55,420
Tony Snell (SG),SG,MIL,248,96,54,14,683
Marreese Speights (C),C,LAC,373,66,23,41,711
Tiago Splitter (C),C,PHI,22,4,1,1,39
Nik Stauskas (SG),SG,PHI,226,188,45,32,756
Lance Stephenson (SG),SG,TOT,104,118,10,6,244
Jarnell Stokes (C),C,DEN,2,2,1,0,3
Diamond Stone (C),C,LAC,6,0,0,1,10
Rodney Stuckey (PG),PG,IND,84,84,16,0,281
Jared Sullinger (PF),PF,TOR,27,3,4,1,37
Edy Tavares (C),C,TOT,22,2,0,12,16
Isaiah Taylor (PG),PG,HOU,3,3,1,1,3
Jeff Teague (PG),PG,IND,331,639,100,32,1254
Mirza Teletovic (PF),PF,MIL,162,48,12,13,451
Garrett Temple (SG),SG,SAC,183,169,84,28,506
Jason Terry (SG),SG,MIL,106,98,45,20,307
Isaiah Thomas (PG),PG,BOS,205,449,70,13,2199
Lance Thomas (PF),PF,NYK,142,35,21,5,275
Hollis Thompson (SG),SG,TOT,222,70,40,12,410
Klay Thompson (SG),SG,GSW,285,160,66,40,1742
Tristan Thompson (C),C,CLE,716,77,39,84,630
Marcus Thornton (SG),SG,WAS,76,41,19,3,219
Mike Tobey (C),C,CHO,3,1,0,0,2
Anthony Tolliver (PF),PF,SAC,239,77,33,20,461
Axel Toupane (SF),SF,TOT,2,0,2,2,22
Karl-Anthony Towns (C),C,MIN,1007,220,57,103,2061
P.J. Tucker (SF),SF,TOT,944,198,232,38,1080
Evan Turner (SF),SF,POR,247,205,53,24,586
Myles Turner (C),C,IND,587,106,74,173,1173
Beno Udrih (PG),PG,DET,57,131,13,0,227
Tyler Ulis (PG),PG,PHO,95,226,48,5,444
Jarrod Uthoff (PF),PF,DAL,22,9,2,4,40
Jonas Valanciunas (C),C,TOR,759,57,37,63,959
Denzel Valentine (SG),SG,CHI,151,63,30,7,291
Fred VanVleet (PG),PG,TOR,42,35,17,2,107
Anderson Varejao (C),C,GSW,27,10,3,3,18
Greivis Vasquez (PG),PG,BRK,2,5,1,1,7
Rashad Vaughn (SG),SG,MIL,49,23,19,10,142
Noah Vonleh (PF),PF,POR,387,31,30,27,327
Nikola Vucevic (C),C,ORL,779,208,77,74,1096
Sasha Vujacic (SG),SG,NYK,59,52,13,2,124
Dwyane Wade (SG),SG,CHI,271,229,86,41,1096
Dion Waiters (SG),SG,MIA,154,200,41,20,729
Kemba Walker (PG),PG,CHO,308,435,85,22,1830
John Wall (PG),PG,WAS,326,831,157,49,1805
Taurean Waller-Prince (SF),SF,ATL,157,55,43,27,335
T.J. Warren (SF),SF,PHO,339,75,76,39,951
C.J. Watson (PG),PG,ORL,89,114,43,2,281
Briante Weber (PG),PG,TOT,52,42,24,2,124
David West (C),C,GSW,203,151,42,48,316
Russell Westbrook (PG),PG,OKC,864,840,133,31,2558
Okaro White (PF),PF,MIA,82,21,10,10,98
Isaiah Whitehead (PG),PG,BRK,184,192,42,36,543
Hassan Whiteside (C),C,MIA,1088,57,56,161,1309
Andrew Wiggins (SF),SF,MIN,329,189,82,30,1933
C.J. Wilcox (SG),SG,ORL,12,12,2,1,21
Alan Williams (C),C,PHO,292,23,27,32,346
Deron Williams (PG),PG,TOT,294,720,62,16,1402
Derrick Williams (PF),PF,TOT,260,56,28,14,608
Lou Williams (SG),SG,TOT,404,478,160,38,2842
Marvin Williams (PF),PF,CHO,498,106,58,53,849
Reggie Williams (SF),SF,NOP,6,4,3,0,27
Troy Williams (SF),SF,TOT,138,50,54,20,370
Kyle Wiltjer (PF),PF,HOU,10,2,3,1,13
Justise Winslow (SF),SF,MIA,94,66,27,6,196
Jeff Withey (C),C,UTA,121,7,16,32,146
Christian Wood (PF),PF,CHO,29,2,3,6,35
Metta World (SF),SF,LAL,20,11,9,2,57
Brandan Wright (PF),PF,MEM,78,15,11,20,189
Delon Wright (PG),PG,TOR,48,57,27,11,150
James Young (SG),SG,BOS,26,4,10,2,68
Joe Young (PG),PG,IND,17,15,4,0,68
Nick Young (SG),SG,LAL,137,58,37,14,791
Thaddeus Young (PF),PF,IND,449,122,114,30,814
Cody Zeller (PF),PF,CHO,405,99,62,58,639
Tyler Zeller (C),C,BOS,124,42,7,21,178
Stephen Zimmerman (C),C,ORL,35,4,2,5,23
Paul Zipser (SF),SF,CHI,125,36,15,16,240
Ivica Zubac (C),C,LAL,159,30,14,33,284
