"","Year","Player","PTS","STL","BLK","TRB","AST"
"6344",1981,"Robert Parish*",NA,NA,214,NA,NA
"6196",1981,"Artis Gilmore*",NA,NA,198,NA,NA
"6134",1981,"Harvey Catchings",NA,NA,184,NA,NA
"6409",1981,"Terry Tyler",NA,NA,180,NA,NA
"6354",1981,"Ben Poquette",NA,NA,174,NA,NA
"6216",1981,"Elvin Hayes*",NA,NA,171,NA,NA
"6406",1981,"Mychal Thompson",NA,NA,170,NA,NA
"6313",1981,"Kevin McHale*",NA,NA,151,NA,NA
"6609",1982,"George Johnson",NA,NA,234,NA,NA
"6740",1982,"Tree Rollins",NA,NA,224,NA,NA
"6559",1982,"Artis Gilmore*",NA,NA,220,NA,NA
"64501",1982,"Kareem Abdul-Jabbar*",NA,NA,207,NA,NA
"6711",1982,"Robert Parish*",NA,NA,192,NA,NA
"6683",1982,"Kevin McHale*",NA,NA,185,NA,NA
"6805",1982,"Herb Williams",NA,NA,178,NA,NA
"6779",1982,"Terry Tyler",NA,NA,160,NA,NA
"6625",1982,"Caldwell Jones",NA,NA,146,NA,NA
"65472",1982,"Julius Erving*",NA,NA,141,NA,NA
"7116",1983,"Tree Rollins",NA,NA,343,NA,NA
"6914",1983,"Mark Eaton",NA,NA,275,NA,NA
"7072",1983,"Larry Nance",NA,NA,217,NA,NA
"6939",1983,"Artis Gilmore*",NA,NA,192,NA,NA
"7055",1983,"Kevin McHale*",NA,NA,192,NA,NA
"7035",1983,"Alton Lister",NA,NA,177,NA,NA
"7200",1983,"Herb Williams",NA,NA,171,NA,NA
"6824",1983,"Kareem Abdul-Jabbar*",NA,NA,170,NA,NA
"7174",1983,"Terry Tyler",NA,NA,160,NA,NA
"70461",1983,"Moses Malone*",NA,NA,157,NA,NA
"7289",1984,"Mark Eaton",NA,NA,351,NA,NA
"7467",1984,"Tree Rollins",NA,NA,277,NA,NA
"7474",1984,"Ralph Sampson*",NA,NA,197,NA,NA
"7427",1984,"Larry Nance",NA,NA,174,NA,NA
"7334",1984,"Roy Hinson",NA,NA,145,NA,NA
"7502",1984,"LaSalle Thompson",NA,NA,145,NA,NA
"7431",1984,"Kurt Nimphius",NA,NA,144,NA,NA
"7216",1984,"Kareem Abdul-Jabbar*",NA,NA,143,NA,NA
"7250",1984,"Joe Barry",NA,NA,142,NA,NA
"7390",1984,"Alton Lister",NA,NA,140,NA,NA
"7639",1985,"Mark Eaton",NA,NA,456,NA,NA
"7784",1985,"Hakeem Olajuwon*",NA,NA,220,NA,NA
"7579",1985,"Sam Bowie",NA,NA,203,NA,NA
"7616",1985,"Wayne Cooper",NA,NA,197,NA,NA
"7661",1985,"Artis Gilmore*",NA,NA,173,NA,NA
"7681",1985,"Roy Hinson",NA,NA,173,NA,NA
"7822",1985,"Ralph Sampson*",NA,NA,168,NA,NA
"7737",1985,"Alton Lister",NA,NA,167,NA,NA
"7814",1985,"Tree Rollins",NA,NA,167,NA,NA
"7560",1985,"Kareem Abdul-Jabbar*",NA,NA,162,NA,NA
"7945",1986,"Manute Bol",NA,NA,397,NA,NA
"8013",1986,"Mark Eaton",NA,NA,369,NA,NA
"8166",1986,"Hakeem Olajuwon*",NA,NA,231,NA,NA
"7985",1986,"Wayne Cooper",NA,NA,227,NA,NA
"7939",1986,"Benoit Benjamin",NA,NA,206,NA,NA
"8283",1986,"Herb Williams",NA,NA,184,NA,NA
"8195",1986,"Tree Rollins",NA,NA,167,NA,NA
"7966",1986,"Joe Barry",NA,NA,143,NA,NA
"8115",1986,"Alton Lister",NA,NA,142,NA,NA
"8005",1986,"James Donaldson",NA,NA,139,NA,NA
"8392",1987,"Mark Eaton",NA,NA,321,NA,NA
"8330",1987,"Manute Bol",NA,NA,302,NA,NA
"8541",1987,"Hakeem Olajuwon*",NA,NA,254,NA,NA
"8320",1987,"Benoit Benjamin",NA,NA,187,NA,NA
"8487",1987,"Alton Lister",NA,NA,180,NA,NA
"85121",1987,"Kevin McHale*",NA,NA,172,NA,NA
"8659",1987,"Hot Rod",NA,NA,167,NA,NA
"8469",1987,"Charles Jones",NA,NA,165,NA,NA
"8445",1987,"Roy Hinson",NA,NA,161,NA,NA
"8530",1987,"Larry Nance",NA,NA,148,NA,NA
"8776",1988,"Mark Eaton",NA,NA,304,NA,NA
"8786",1988,"Patrick Ewing*",NA,NA,245,NA,NA
"8703",1988,"Benoit Benjamin",NA,NA,225,NA,NA
"89521",1988,"Hakeem Olajuwon*",NA,NA,214,NA,NA
"8712",1988,"Manute Bol",NA,NA,208,NA,NA
"8938",1988,"Larry Nance",NA,NA,159,NA,NA
"9071",1988,"Mark West",NA,NA,147,NA,NA
"9085",1988,"Herb Williams",NA,NA,146,NA,NA
"9086",1988,"Hot Rod",NA,NA,145,NA,NA
"8835",1988,"Roy Hinson",NA,NA,140,NA,NA
"9144",1989,"Manute Bol",NA,NA,345,NA,NA
"9210",1989,"Mark Eaton",NA,NA,315,NA,NA
"93832",1989,"Hakeem Olajuwon*",NA,NA,282,NA,NA
"9217",1989,"Patrick Ewing*",NA,NA,281,NA,NA
"9134",1989,"Benoit Benjamin",NA,NA,221,NA,NA
"9178",1989,"Wayne Cooper",NA,NA,211,NA,NA
"9368",1989,"Larry Nance",NA,NA,206,NA,NA
"9511",1989,"Mark West",NA,NA,187,NA,NA
"9326",1989,"Alton Lister",NA,NA,180,NA,NA
"9456",1989,"Rik Smits",NA,NA,151,NA,NA
"98412",1990,"Hakeem Olajuwon*",NA,NA,376,NA,NA
"96631",1990,"Patrick Ewing*",NA,NA,327,NA,NA
"98831",1990,"David Robinson*",NA,NA,319,NA,NA
"9579",1990,"Manute Bol",NA,NA,238,NA,NA
"9653",1990,"Mark Eaton",NA,NA,201,NA,NA
"9747",1990,"Charles Jones",NA,NA,197,NA,NA
"9570",1990,"Benoit Benjamin",NA,NA,187,NA,NA
"9975",1990,"Mark West",NA,NA,184,NA,NA
"9921",1990,"Rik Smits",NA,NA,169,NA,NA
"9984",1990,"Hot Rod",NA,NA,167,NA,NA
"103371",1991,"David Robinson*",NA,NA,320,NA,NA
"101331",1991,"Patrick Ewing*",NA,NA,258,NA,NA
"10047",1991,"Manute Bol",NA,NA,247,NA,NA
"10294",1991,"Hakeem Olajuwon*",NA,NA,221,NA,NA
"10286",1991,"Larry Nance",NA,NA,200,NA,NA
"10118",1991,"Mark Eaton",NA,NA,188,NA,NA
"10412",1991,"Mark West",NA,NA,161,NA,NA
"10130",1991,"Pervis Ellison",NA,NA,157,NA,NA
"10114",1991,"Chris Dudley",NA,NA,153,NA,NA
"10073",1991,"Duane Causwell",NA,NA,148,NA,NA
"10799",1992,"David Robinson*",NA,NA,305,NA,NA
"10750",1992,"Hakeem Olajuwon*",NA,NA,304,NA,NA
"105851",1992,"Patrick Ewing*",NA,NA,245,NA,NA
"10743",1992,"Larry Nance",NA,NA,243,NA,NA
"10529",1992,"Duane Causwell",NA,NA,215,NA,NA
"10742",1992,"Dikembe Mutombo*",NA,NA,210,NA,NA
"10495",1992,"Manute Bol",NA,NA,205,NA,NA
"10573",1992,"Mark Eaton",NA,NA,205,NA,NA
"10687",1992,"Andrew Lang",NA,NA,201,NA,NA
"10890",1992,"Hot Rod",NA,NA,182,NA,NA
"111961",1993,"Hakeem Olajuwon*",NA,NA,342,NA,NA
"11180",1993,"Dikembe Mutombo*",NA,NA,287,NA,NA
"111881",1993,"Shaquille O'Neal*",NA,NA,286,NA,NA
"11175",1993,"Alonzo Mourning*",NA,NA,271,NA,NA
"112461",1993,"David Robinson*",NA,NA,264,NA,NA
"11181",1993,"Larry Nance",NA,NA,198,NA,NA
"11245",1993,"Clifford Robinson",NA,NA,163,NA,NA
"110341",1993,"Patrick Ewing*",NA,NA,161,NA,NA
"11006",1993,"Dale Davis",NA,NA,148,NA,NA
"11110",1993,"Shawn Kemp",NA,NA,146,NA,NA
"11678",1994,"Dikembe Mutombo*",NA,NA,336,NA,NA
"116891",1994,"Hakeem Olajuwon*",NA,NA,297,NA,NA
"117321",1994,"David Robinson*",NA,NA,265,NA,NA
"116861",1994,"Shaquille O'Neal*",NA,NA,231,NA,NA
"115001",1994,"Patrick Ewing*",NA,NA,217,NA,NA
"11669",1994,"Alonzo Mourning*",NA,NA,188,NA,NA
"11590",1994,"Shawn Kemp",NA,NA,166,NA,NA
"11797",1994,"Chris Webber",NA,NA,164,NA,NA
"11658",1994,"Oliver Miller",NA,NA,156,NA,NA
"11407",1994,"Shawn Bradley",NA,NA,147,NA,NA
"12131",1995,"Dikembe Mutombo*",NA,NA,321,NA,NA
"11884",1995,"Shawn Bradley",NA,NA,274,NA,NA
"121832",1995,"David Robinson*",NA,NA,262,NA,NA
"121391",1995,"Hakeem Olajuwon*",NA,NA,242,NA,NA
"12123",1995,"Alonzo Mourning*",NA,NA,225,NA,NA
"121371",1995,"Shaquille O'Neal*",NA,NA,192,NA,NA
"11940",1995,"Vlade Divac",NA,NA,174,NA,NA
"119721",1995,"Patrick Ewing*",NA,NA,159,NA,NA
"12141",1995,"Bo Outlaw",NA,NA,151,NA,NA
"12275",1995,"Lorenzo Williams",NA,NA,148,NA,NA
"12626",1996,"Dikembe Mutombo*",NA,NA,332,NA,NA
"12338",1996,"Shawn Bradley",NA,NA,288,NA,NA
"126981",1996,"David Robinson*",NA,NA,271,NA,NA
"12340",1996,"Shawn Bradley",NA,NA,250,NA,NA
"12360",1996,"Elden Campbell",NA,NA,212,NA,NA
"126371",1996,"Hakeem Olajuwon*",NA,NA,207,NA,NA
"12615",1996,"Alonzo Mourning*",NA,NA,189,NA,NA
"124351",1996,"Patrick Ewing*",NA,NA,184,NA,NA
"12623",1996,"Gheorghe Muresan",NA,NA,172,NA,NA
"12595",1996,"Jim McIlvaine",NA,NA,166,NA,NA
"13202",1997,"Dikembe Mutombo*",NA,NA,264,NA,NA
"12886",1997,"Shawn Bradley",NA,NA,248,NA,NA
"13091",1997,"Ervin Johnson",NA,NA,227,NA,NA
"129961",1997,"Patrick Ewing*",NA,NA,189,NA,NA
"13196",1997,"Alonzo Mourning*",NA,NA,189,NA,NA
"12970",1997,"Vlade Divac",NA,NA,180,NA,NA
"132231",1997,"Hakeem Olajuwon*",NA,NA,173,NA,NA
"13170",1997,"Jim McIlvaine",NA,NA,164,NA,NA
"13013",1997,"Kevin Garnett",NA,NA,163,NA,NA
"13283",1997,"Roy Rogers",NA,NA,163,NA,NA
"13735",1998,"Dikembe Mutombo*",NA,NA,277,NA,NA
"13779",1998,"Theo Ratliff",NA,NA,258,NA,NA
"13492",1998,"Marcus Camby",NA,NA,230,NA,NA
"13469",1998,"Shawn Bradley",NA,NA,214,NA,NA
"135521",1998,"Tim Duncan",NA,NA,206,NA,NA
"13781",1998,"Theo Ratliff",NA,NA,203,NA,NA
"13865",1998,"Michael Stewart",NA,NA,195,NA,NA
"13801",1998,"David Robinson*",NA,NA,192,NA,NA
"13753",1998,"Bo Outlaw",NA,NA,181,NA,NA
"13648",1998,"Ervin Johnson",NA,NA,158,NA,NA
"14277",1999,"Alonzo Mourning*",NA,NA,180,NA,NA
"14012",1999,"Shawn Bradley",NA,NA,159,NA,NA
"14334",1999,"Theo Ratliff",NA,NA,149,NA,NA
"14283",1999,"Dikembe Mutombo*",NA,NA,147,NA,NA
"14301",1999,"Greg Ostertag",NA,NA,131,NA,NA
"140971",1999,"Tim Duncan",NA,NA,126,NA,NA
"14295",1999,"Hakeem Olajuwon*",NA,NA,123,NA,NA
"14353",1999,"David Robinson*",NA,NA,119,NA,NA
"142541",1999,"Antonio McDyess",NA,NA,115,NA,NA
"14107",1999,"Patrick Ewing*",NA,NA,100,NA,NA
"14793",2000,"Alonzo Mourning*",NA,NA,294,NA,NA
"14799",2000,"Dikembe Mutombo*",NA,NA,269,NA,NA
"148071",2000,"Shaquille O'Neal*",NA,NA,239,NA,NA
"14526",2000,"Shawn Bradley",NA,NA,190,NA,NA
"14860",2000,"David Robinson*",NA,NA,183,NA,NA
"14732",2000,"Raef LaFrentz",NA,NA,180,NA,NA
"14813",2000,"Greg Ostertag",NA,NA,172,NA,NA
"14845",2000,"Theo Ratliff",NA,NA,171,NA,NA
"14608",2000,"Tim Duncan",NA,NA,165,NA,NA
"14771",2000,"Tracy McGrady",NA,NA,151,NA,NA
"15017",2001,"Shawn Bradley",NA,NA,228,NA,NA
"15330",2001,"Jermaine O'Neal",NA,NA,228,NA,NA
"15232",2001,"Raef LaFrentz",NA,NA,206,NA,NA
"153311",2001,"Shaquille O'Neal*",NA,NA,204,NA,NA
"15315",2001,"Dikembe Mutombo*",NA,NA,203,NA,NA
"15391",2001,"David Robinson*",NA,NA,197,NA,NA
"15104",2001,"Tim Duncan",NA,NA,192,NA,NA
"15379",2001,"Theo Ratliff",NA,NA,187,NA,NA
"15472",2001,"Ben Wallace",NA,NA,186,NA,NA
"15127",2001,"Adonal Foyle",NA,NA,156,NA,NA
"15976",2002,"Ben Wallace",NA,NA,278,NA,NA
"15762",2002,"Raef LaFrentz",NA,NA,213,NA,NA
"156441",2002,"Tim Duncan",NA,NA,203,NA,NA
"15830",2002,"Dikembe Mutombo*",NA,NA,190,NA,NA
"15826",2002,"Alonzo Mourning*",NA,NA,186,NA,NA
"15672",2002,"Pau Gasol",NA,NA,169,NA,NA
"15664",2002,"Adonal Foyle",NA,NA,168,NA,NA
"15620",2002,"Erick Dampier",NA,NA,167,NA,NA
"15841",2002,"Jermaine O'Neal",NA,NA,166,NA,NA
"15565",2002,"Elton Brand",NA,NA,163,NA,NA
"16366",2003,"Theo Ratliff",NA,NA,262,NA,NA
"161301",2003,"Tim Duncan",NA,NA,237,NA,NA
"16448",2003,"Ben Wallace",NA,NA,230,NA,NA
"16148",2003,"Adonal Foyle",NA,NA,205,NA,NA
"16324",2003,"Jermaine O'Neal",NA,NA,178,NA,NA
"16245",2003,"Andrei Kirilenko",NA,NA,175,NA,NA
"16056",2003,"Shawn Bradley",NA,NA,170,NA,NA
"163251",2003,"Shaquille O'Neal*",NA,NA,159,NA,NA
"16057",2003,"Elton Brand",NA,NA,158,NA,NA
"16110",2003,"Erick Dampier",NA,NA,154,NA,NA
"16925",2004,"Theo Ratliff",NA,NA,307,NA,NA
"170211",2004,"Ben Wallace",NA,NA,246,NA,NA
"167751",2004,"Andrei Kirilenko",NA,NA,215,NA,NA
"16738",2004,"Zydrunas Ilgauskas",NA,NA,201,NA,NA
"16874",2004,"Jermaine O'Neal",NA,NA,199,NA,NA
"16615",2004,"Samuel Dalembert",NA,NA,189,NA,NA
"16584",2004,"Marcus Camby",NA,NA,187,NA,NA
"16648",2004,"Tim Duncan",NA,NA,185,NA,NA
"166751",2004,"Kevin Garnett",NA,NA,178,NA,NA
"16875",2004,"Shaquille O'Neal*",NA,NA,166,NA,NA
"17170",2005,"Marcus Camby",NA,NA,199,NA,NA
"17615",2005,"Ben Wallace",NA,NA,176,NA,NA
"17235",2005,"Tim Duncan",NA,NA,174,NA,NA
"17463",2005,"Shaquille O'Neal*",NA,NA,171,NA,NA
"17150",2005,"Elton Brand",NA,NA,169,NA,NA
"17329",2005,"Zydrunas Ilgauskas",NA,NA,165,NA,NA
"17501",2005,"Joel Przybilla",NA,NA,163,NA,NA
"17426",2005,"Yao Ming*",NA,NA,160,NA,NA
"17257",2005,"Adonal Foyle",NA,NA,159,NA,NA
"17506",2005,"Theo Ratliff",NA,NA,158,NA,NA
"17947",2006,"Andrei Kirilenko",NA,NA,220,NA,NA
"18120",2006,"Josh Smith",NA,NA,208,NA,NA
"17735",2006,"Elton Brand",NA,NA,201,NA,NA
"17755",2006,"Marcus Camby",NA,NA,184,NA,NA
"181811",2006,"Ben Wallace",NA,NA,181,NA,NA
"18008",2006,"Alonzo Mourning*",NA,NA,173,NA,NA
"17807",2006,"Tim Duncan",NA,NA,162,NA,NA
"17777",2006,"Samuel Dalembert",NA,NA,160,NA,NA
"17846",2006,"Pau Gasol",NA,NA,153,NA,NA
"17867",2006,"Eddie Griffin",NA,NA,148,NA,NA
"18304",2007,"Marcus Camby",NA,NA,231,NA,NA
"18658",2007,"Josh Smith",NA,NA,207,NA,NA
"18352",2007,"Tim Duncan",NA,NA,190,NA,NA
"18572",2007,"Jermaine O'Neal",NA,NA,182,NA,NA
"18287",2007,"Elton Brand",NA,NA,179,NA,NA
"18555",2007,"Alonzo Mourning*",NA,NA,178,NA,NA
"18576",2007,"Emeka Okafor",NA,NA,172,NA,NA
"18327",2007,"Samuel Dalembert",NA,NA,159,NA,NA
"18434",2007,"Dwight Howard",NA,NA,156,NA,NA
"18703",2007,"Ben Wallace",NA,NA,156,NA,NA
"18832",2008,"Marcus Camby",NA,NA,285,NA,NA
"19228",2008,"Josh Smith",NA,NA,227,NA,NA
"18861",2008,"Samuel Dalembert",NA,NA,192,NA,NA
"18993",2008,"Dwight Howard",NA,NA,176,NA,NA
"192421",2008,"Amar'e Stoudemire",NA,NA,163,NA,NA
"19051",2008,"Chris Kaman",NA,NA,155,NA,NA
"18890",2008,"Tim Duncan",NA,NA,152,NA,NA
"19151",2008,"Emeka Okafor",NA,NA,138,NA,NA
"18800",2008,"Andrew Bogut",NA,NA,135,NA,NA
"18981",2008,"Brendan Haywood",NA,NA,133,NA,NA
"19589",2009,"Dwight Howard",NA,NA,231,NA,NA
"19358",2009,"Chris Andersen",NA,NA,175,NA,NA
"19868",2009,"Ronny Turiaf",NA,NA,168,NA,NA
"19657",2009,"Brook Lopez",NA,NA,151,NA,NA
"19863",2009,"Tyrus Thomas",NA,NA,151,NA,NA
"19705",2009,"Yao Ming*",NA,NA,150,NA,NA
"19756",2009,"Kendrick Perkins",NA,NA,150,NA,NA
"19470",2009,"Samuel Dalembert",NA,NA,146,NA,NA
"19739",2009,"Jermaine O'Neal",NA,NA,136,NA,NA
"19746",2009,"Emeka Okafor",NA,NA,136,NA,NA
"20168",2010,"Dwight Howard",NA,NA,228,NA,NA
"19981",2010,"Andrew Bogut",NA,NA,175,NA,NA
"204101",2010,"Josh Smith",NA,NA,172,NA,NA
"20148",2010,"Brendan Haywood",NA,NA,158,NA,NA
"20044",2010,"Samuel Dalembert",NA,NA,151,NA,NA
"20016",2010,"Marcus Camby",NA,NA,146,NA,NA
"19934",2010,"Chris Andersen",NA,NA,143,NA,NA
"20260",2010,"Brook Lopez",NA,NA,139,NA,NA
"20350",2010,"Kendrick Perkins",NA,NA,132,NA,NA
"20153",2010,"Roy Hibbert",NA,NA,131,NA,NA
"20801",2011,"Serge Ibaka",NA,NA,198,NA,NA
"20891",2011,"JaVale McGee",NA,NA,193,NA,NA
"20796",2011,"Dwight Howard",NA,NA,186,NA,NA
"20579",2011,"Andrew Bogut",NA,NA,168,NA,NA
"20818",2011,"Al Jefferson",NA,NA,153,NA,NA
"210281",2011,"Amar'e Stoudemire",NA,NA,150,NA,NA
"20682",2011,"Tim Duncan",NA,NA,146,NA,NA
"20783",2011,"Roy Hibbert",NA,NA,142,NA,NA
"20843",2011,"DeAndre Jordan",NA,NA,142,NA,NA
"20898",2011,"Darko Milicic",NA,NA,140,NA,NA
"21385",2012,"Serge Ibaka",NA,NA,241,NA,NA
"21428",2012,"DeAndre Jordan",NA,NA,134,NA,NA
"21472",2012,"JaVale McGee",NA,NA,132,NA,NA
"21355",2012,"Roy Hibbert",NA,NA,128,NA,NA
"21310",2012,"Marc Gasol",NA,NA,121,NA,NA
"21204",2012,"Andrew Bynum",NA,NA,116,NA,NA
"21377",2012,"Dwight Howard",NA,NA,116,NA,NA
"21175",2012,"Bismack Biyombo",NA,NA,115,NA,NA
"215781",2012,"Josh Smith",NA,NA,115,NA,NA
"21238",2012,"Samuel Dalembert",NA,NA,111,NA,NA
"21924",2013,"Serge Ibaka",NA,NA,242,NA,NA
"21907",2013,"Roy Hibbert",NA,NA,206,NA,NA
"22133",2013,"Larry Sanders",NA,NA,201,NA,NA
"21920",2013,"Dwight Howard",NA,NA,186,NA,NA
"21826",2013,"Tim Duncan",NA,NA,183,NA,NA
"22026",2013,"JaVale McGee",NA,NA,157,NA,NA
"22001",2013,"Brook Lopez",NA,NA,154,NA,NA
"21735",2013,"Bismack Biyombo",NA,NA,143,NA,NA
"22066",2013,"Joakim Noah",NA,NA,141,NA,NA
"21856",2013,"Marc Gasol",NA,NA,139,NA,NA
"22539",2014,"Serge Ibaka",NA,NA,219,NA,NA
"22573",2014,"DeAndre Jordan",NA,NA,203,NA,NA
"22408",2014,"Anthony Davis",NA,NA,189,NA,NA
"22525",2014,"Roy Hibbert",NA,NA,182,NA,NA
"22437",2014,"Tim Duncan",NA,NA,139,NA,NA
"22606",2014,"Robin Lopez",NA,NA,139,NA,NA
"22435",2014,"Andre Drummond",NA,NA,131,NA,NA
"22536",2014,"Dwight Howard",NA,NA,128,NA,NA
"22327",2014,"Andrew Bogut",NA,NA,121,NA,NA
"22483",2014,"Marcin Gortat",NA,NA,121,NA,NA
"230131",2015,"Anthony Davis",NA,NA,200,NA,NA
"23083",2015,"Rudy Gobert",NA,NA,189,NA,NA
"23181",2015,"DeAndre Jordan",NA,NA,183,NA,NA
"23145",2015,"Serge Ibaka",NA,NA,155,NA,NA
"23037",2015,"Andre Drummond",NA,NA,153,NA,NA
"23039",2015,"Tim Duncan",NA,NA,151,NA,NA
"23075",2015,"Pau Gasol",NA,NA,147,NA,NA
"232941",2015,"Nerlens Noel",NA,NA,142,NA,NA
"23128",2015,"John Henson",NA,NA,135,NA,NA
"23074",2015,"Marc Gasol",NA,NA,131,NA,NA
"24072",2016,"Hassan Whiteside",NA,NA,269,NA,NA
"23810",2016,"DeAndre Jordan",NA,NA,177,NA,NA
"23772",2016,"Serge Ibaka",NA,NA,148,NA,NA
"23690",2016,"Pau Gasol",NA,NA,146,NA,NA
"238931",2016,"Paul Millsap",NA,NA,139,NA,NA
"24041",2016,"Karl-Anthony Towns",NA,NA,138,NA,NA
"23696",2016,"Rudy Gobert",NA,NA,135,NA,NA
"23951",2016,"Kristaps Porzingis",NA,NA,134,NA,NA
"23568",2016,"Bismack Biyombo",NA,NA,133,NA,NA
"23848",2016,"Robin Lopez",NA,NA,129,NA,NA
"39431",1974,"Elvin Hayes*",NA,NA,NA,1463,NA
"3895",1974,"Dave Cowens*",NA,NA,NA,1257,NA
"38532",1974,"Kareem Abdul-Jabbar*",NA,NA,NA,1178,NA
"39892",1974,"Bob McAdoo*",NA,NA,NA,1117,NA
"39712",1974,"Bob Lanier*",NA,NA,NA,1074,NA
"39701",1974,"Sam Lacey",NA,NA,NA,1055,NA
"3935",1974,"Happy Hairston",NA,NA,NA,1040,NA
"3944",1974,"Spencer Haywood*",NA,NA,NA,1007,NA
"40261",1974,"Clifford Ray",NA,NA,NA,977,NA
"39461",1974,"Gar Heard",NA,NA,NA,947,NA
"42562",1975,"Bob McAdoo*",NA,NA,NA,1155,NA
"42391",1975,"Sam Lacey",NA,NA,NA,1149,NA
"4329",1975,"Wes Unseld*",NA,NA,NA,1077,NA
"4308",1975,"Paul Silas",NA,NA,NA,1025,NA
"42093",1975,"Elvin Hayes*",NA,NA,NA,1004,NA
"4163",1975,"Dave Cowens*",NA,NA,NA,958,NA
"4201",1975,"Happy Hairston",NA,NA,NA,946,NA
"4282",1975,"Curtis Perry",NA,NA,NA,940,NA
"42402",1975,"Bob Lanier*",NA,NA,NA,914,NA
"40992",1975,"Kareem Abdul-Jabbar*",NA,NA,NA,912,NA
"43762",1976,"Kareem Abdul-Jabbar*",NA,NA,NA,1383,NA
"4430",1976,"Dave Cowens*",NA,NA,NA,1246,NA
"4616",1976,"Wes Unseld*",NA,NA,NA,1036,NA
"4596",1976,"Paul Silas",NA,NA,NA,1025,NA
"45161",1976,"Sam Lacey",NA,NA,NA,1024,NA
"45362",1976,"George McGinnis",NA,NA,NA,967,NA
"45322",1976,"Bob McAdoo*",NA,NA,NA,965,NA
"46001",1976,"Elmore Smith",NA,NA,NA,893,NA
"4408",1976,"Jim Brewer",NA,NA,NA,891,NA
"44821",1976,"Elvin Hayes*",NA,NA,NA,878,NA
"46512",1977,"Kareem Abdul-Jabbar*",NA,NA,NA,1090,NA
"48471",1977,"Moses Malone*",NA,NA,NA,1072,NA
"48491",1977,"Moses Malone*",NA,NA,NA,1071,NA
"47691",1977,"Artis Gilmore*",NA,NA,NA,1070,NA
"47862",1977,"Elvin Hayes*",NA,NA,NA,1029,NA
"49701",1977,"Bill Walton*",NA,NA,NA,934,NA
"48571",1977,"Bob McAdoo*",NA,NA,NA,926,NA
"4865",1977,"George McGinnis",NA,NA,NA,911,NA
"4846",1977,"Maurice Lucas",NA,NA,NA,899,NA
"4825",1977,"Larry Kenon",NA,NA,NA,879,NA
"5285",1978,"Truck Robinson",NA,NA,NA,1288,NA
"5083",1978,"Dave Cowens*",NA,NA,NA,1078,NA
"51591",1978,"Elvin Hayes*",NA,NA,NA,1075,NA
"51382",1978,"Artis Gilmore*",NA,NA,NA,1071,NA
"53591",1978,"Marvin Webster",NA,NA,NA,1035,NA
"5247",1978,"Swen Nater",NA,NA,NA,1029,NA
"52241",1978,"Bob McAdoo*",NA,NA,NA,1010,NA
"5338",1978,"Wes Unseld*",NA,NA,NA,955,NA
"5219",1978,"Moses Malone*",NA,NA,NA,886,NA
"5184",1978,"Marques Johnson",NA,NA,NA,847,NA
"55811",1979,"Moses Malone*",NA,NA,NA,1444,NA
"54982",1979,"Artis Gilmore*",NA,NA,NA,1043,NA
"55531",1979,"Rich Kelley",NA,NA,NA,1026,NA
"53832",1979,"Kareem Abdul-Jabbar*",NA,NA,NA,1025,NA
"5658",1979,"Jack Sikma",NA,NA,NA,1013,NA
"55161",1979,"Elvin Hayes*",NA,NA,NA,994,NA
"56161",1979,"Robert Parish*",NA,NA,NA,916,NA
"56441",1979,"Dan Roundfield",NA,NA,NA,865,NA
"5590",1979,"George McGinnis",NA,NA,NA,864,NA
"5446",1979,"Jim Chones",NA,NA,NA,842,NA
"5974",1980,"Swen Nater",NA,NA,NA,1216,NA
"59431",1980,"Moses Malone*",NA,NA,NA,1190,NA
"6050",1980,"Wes Unseld*",NA,NA,NA,1094,NA
"58961",1980,"Caldwell Jones",NA,NA,NA,950,NA
"6023",1980,"Jack Sikma",NA,NA,NA,908,NA
"58652",1980,"Elvin Hayes*",NA,NA,NA,896,NA
"57282",1980,"Kareem Abdul-Jabbar*",NA,NA,NA,886,NA
"5749",1980,"Larry Bird*",NA,NA,NA,852,NA
"6057",1980,"Kermit Washington",NA,NA,NA,842,NA
"6013",1980,"Dan Roundfield",NA,NA,NA,837,NA
"62991",1981,"Moses Malone*",NA,NA,NA,1180,NA
"6330",1981,"Swen Nater",NA,NA,NA,1017,NA
"6394",1981,"Larry Smith",NA,NA,NA,994,NA
"61011",1981,"Larry Bird*",NA,NA,NA,895,NA
"6392",1981,"Jack Sikma",NA,NA,NA,852,NA
"6128",1981,"Kenny Carr",NA,NA,NA,835,NA
"61961",1981,"Artis Gilmore*",NA,NA,NA,828,NA
"60862",1981,"Kareem Abdul-Jabbar*",NA,NA,NA,821,NA
"6255",1981,"Caldwell Jones",NA,NA,NA,813,NA
"62161",1981,"Elvin Hayes*",NA,NA,NA,789,NA
"66731",1982,"Moses Malone*",NA,NA,NA,1188,NA
"6752",1982,"Jack Sikma",NA,NA,NA,1038,NA
"6800",1982,"Buck Williams",NA,NA,NA,1005,NA
"6771",1982,"Mychal Thompson",NA,NA,NA,921,NA
"6668",1982,"Maurice Lucas",NA,NA,NA,903,NA
"67111",1982,"Robert Parish*",NA,NA,NA,866,NA
"6468",1982,"Larry Bird*",NA,NA,NA,837,NA
"65591",1982,"Artis Gilmore*",NA,NA,NA,835,NA
"6755",1982,"Larry Smith",NA,NA,NA,813,NA
"6564",1982,"Dave Greenwood",NA,NA,NA,786,NA
