,Player,height,weight,collage,born,birth_city,birth_state,G/season,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2839,Jeff Trepagnier,193,90,University of Southern California,1979,Los Angeles,California,10.33333333,0,90,9.4,0.391666667,0.116,0.212333333,6.933333333,11.46666667,9.2,14.16666667,3.8,1.266666667,19.43333333,22.26666667,#DIV/0!,-0.166666667,0.133333333,-0.066666667,-0.043666667,#DIV/0!,-5.133333333,0.466666667,-4.733333333,-0.033333333,11.33333333,33.66666667,0.330666667,2,4.333333333,0.333333333,9.333333333,29.33333333,0.319666667,0.356,4.666666667,6.666666667,0.690333333,5.666666667,8.666666667,14.33333333,7.333333333,6.333333333,1.333333333,8.333333333,6.666666667,29.33333333
2840,Ratko Varda,216,117,,1979,Bosanska Gradiska,Bosnia and Herzegovina,1,0,6,15,0.727,0,0.333,0,19.5,9.8,0,0,0,22.5,34.9,#DIV/0!,0,0,0,0.098,#DIV/0!,-5.2,-9.1,-14.3,0,2,3,0.667,0,0,#DIV/0!,2,3,0.667,0.667,1,1,1,0,1,1,0,0,0,1,3,5
2841,Gerald Wallace,201,97,University of Alabama,1982,Sylacauga,Alabama,53.38888889,40.66666667,1638.888889,15.13888889,0.525944444,0.1715,0.421833333,5.983333333,17.12222222,11.44444444,11.12222222,2.461111111,1.933333333,14.86111111,18.65555556,#DIV/0!,1.677777778,2.244444444,3.922222222,0.101111111,#DIV/0!,-0.572222222,1.844444444,1.277777778,1.766666667,232.7222222,498.6111111,0.456833333,28.61111111,91.05555556,0.277166667,204.1111111,407.5555556,0.4895,0.483388889,164.0555556,228.6666667,0.663944444,74.61111111,247.2222222,321.8333333,114.5555556,77.22222222,43.33333333,97.16666667,119.8333333,658.1111111
2842,Earl Watson,185,88,"University of California, Los Angeles",1979,Kansas City,Kansas,63.2,15.8,1404.8,11.65333333,0.489133333,0.347666667,0.2456,2.753333333,9.086666667,5.893333333,29.38666667,2.36,0.666666667,24.57333333,16.16666667,#DIV/0!,0.406666667,1.046666667,1.46,0.046733333,#DIV/0!,-1.006666667,-0.82,-1.833333333,0.113333333,155.4,376.5333333,0.3968,40.8,121.5333333,0.3136,114.6,255,0.431066667,0.453266667,62.8,89.6,0.713066667,32.4,110.4666667,142.8666667,277.3333333,62.73333333,12.4,112.2666667,127.6,414.4
2843,Rodney White,203,95,University of South Alabama,1959,Tuskegee,Alabama,46,3.833333333,671.8333333,11.61666667,0.4685,0.201,0.185666667,3.516666667,12.2,7.783333333,12.45,2.15,1.2,13.81666667,24.71666667,#DIV/0!,-0.383333333,0.75,0.366666667,0.0095,#DIV/0!,-3.45,-1.283333333,-4.733333333,-0.316666667,123,290.6666667,0.4065,19.16666667,58.33333333,0.330833333,103.8333333,232.3333333,0.425,0.44,40.33333333,55.16666667,0.703833333,22.83333333,72.83333333,95.66666667,46.83333333,25,12.66666667,53.66666667,62.16666667,305.5
2844,Loren Woods,216,111,University of Arizona,1978,St. Louis,Missouri,35.83333333,7.833333333,404.6666667,11.51666667,0.491,0.013833333,0.358333333,10.43333333,18.2,14.31666667,7.033333333,1.083333333,3.35,16.2,13.55,#DIV/0!,0.033333333,0.466666667,0.533333333,0.081,#DIV/0!,-3.566666667,0.45,-3.133333333,-0.116666667,34.66666667,82.66666667,0.448666667,0.166666667,1.166666667,0.08325,34.5,81.5,0.452,0.449666667,23,35.83333333,0.6232,43.83333333,69.83333333,113.6666667,12.33333333,9.166666667,21.33333333,23,46.33333333,92.5
2845,Robert Archibald,211,113,University of Illinois at Urbana-Champaign,1980,Paisley,United Kingdom,15.2,1.2,116.8,5.82,0.3284,0,1.1478,5.74,18.54,12.08,8.78,3.82,0.94,18.02,19.36,#DIV/0!,-0.14,0.16,0.04,-0.087,#DIV/0!,-8.58,-0.06,-8.64,-0.06,4.8,17.2,0.268,0,0,#DIV/0!,4.8,17.2,0.268,0.268,7,16,0.3644,9.6,14.6,24.2,5.8,5.6,1.8,5.4,21.8,16.6
2846,Maceo Baston,206,97,University of Michigan,1975,Corsicana,Texas,26.25,1,207.75,15.4,0.66275,0.0285,0.52125,7.85,17.95,12.775,3.925,1.475,4.325,17.65,14.775,#DIV/0!,0.3,0.25,0.575,0.1465,#DIV/0!,-2.175,0.5,-1.675,0.025,26.5,43,0.617,0.75,2,0.2145,25.75,41,0.62575,0.62175,17.75,24,0.7375,14,29.75,43.75,6.5,6,10.75,13.5,35,71.5
2847,Mike Batiste,203,102,Arizona State University,1977,Long Beach,California,75,2,1248,12.2,0.476,0.173,0.188,7.5,15.6,11.6,6.9,1.7,0.9,12,20.7,#DIV/0!,0,0.7,0.8,0.029,#DIV/0!,-2.2,-1.7,-3.9,-0.6,197,467,0.422,18,81,0.222,179,386,0.464,0.441,69,88,0.784,82,175,257,52,42,16,69,120,481
2848,Lonny Baxter,203,117,University of Maryland,1979,Silver Spring,Maryland,29.44444444,1.111111111,338.8888889,9.777777778,0.485444444,0.009222222,0.347,10.6,18.9,14.63333333,3.455555556,0.977777778,1.977777778,15.48888889,17.45555556,#DIV/0!,0.155555556,0.411111111,0.566666667,0.043666667,#DIV/0!,-5.266666667,-1.511111111,-6.777777778,-0.244444444,43.88888889,93.66666667,0.446444444,0.222222222,0.888888889,0.2666,43.66666667,92.77777778,0.448333333,0.447777778,23.77777778,36.33333333,0.618,31.88888889,54.88888889,86.77777778,7.111111111,7.222222222,10.66666667,18.44444444,55.88888889,111.7777778
2849,Carlos Boozer,206,117,Duke University,1981,Aschaffenburg,Germany,66.23076923,59.61538462,2069.307692,19.24615385,0.552846154,0.001230769,0.283615385,8.853846154,26.32307692,17.6,13.24615385,1.484615385,0.938461538,12.58461538,24.18461538,#DIV/0!,3.130769231,3.053846154,6.169230769,0.139153846,#DIV/0!,0.330769231,0.730769231,1.061538462,1.7,449.7692308,863.1538462,0.520230769,0.076923077,1.076923077,0.023857143,449.6923077,862.0769231,0.520769231,0.520307692,175.4615385,242.9230769,0.718615385,156.6923077,473.4615385,630.1538462,148.3076923,58.84615385,26.61538462,140.3076923,200.9230769,1075.076923
2850,J.R. Bremer,206,117,,1981,,,34,11.25,597.25,5.625,0.359,0.48675,0.128,2.775,6.6,4.675,25.125,1.45,0.375,13.4,21.35,#DIV/0!,0.075,0.45,0.5,-0.0805,#DIV/0!,-3.625,-3.25,-6.875,-0.2,64.25,195,0.279,34.75,108.5,0.2245,29.5,86.5,0.31725,0.33825,27.75,37.75,0.688666667,9,45.25,54.25,66.5,18.5,2.75,26.75,36,191
2851,Devin Brown,185,72,Jacksonville University,1968,Jacksonville,Florida,43.75,13.83333333,847.9166667,10.00833333,0.466,0.252666667,0.26125,6.233333333,12.85,9.475,12.15,1.633333333,0.558333333,15.05833333,21.21666667,#DIV/0!,0.291666667,0.833333333,1.108333333,0.024583333,#DIV/0!,-2.95,-0.691666667,-3.641666667,-0.041666667,110.1666667,276.9166667,0.379166667,29.83333333,87.75,0.263545455,80.33333333,189.1666667,0.396833333,0.419166667,64.91666667,83.41666667,0.790636364,31.08333333,88.08333333,119.1666667,62.58333333,25,5.416666667,48,69.41666667,315.0833333
2852,Pat Burke,211,113,Auburn University,1973,Dublin,Ireland,42.33333333,2.666666667,431,9.166666667,0.452,0.139,0.187,8,17.8,13.03333333,5.333333333,1.033333333,1.933333333,13.76666667,21.43333333,#DIV/0!,-0.466666667,0.4,-0.033333333,0.001,#DIV/0!,-5.366666667,-1.433333333,-6.833333333,-0.533333333,66.33333333,162.6666667,0.410666667,3,12,0.234,63.33333333,150.6666667,0.430333333,0.429,20.33333333,30.66666667,0.641333333,30,58.66666667,88.66666667,14.66666667,9.333333333,13.33333333,29,60,156
2853,Caron Butler,201,103,University of Connecticut,1980,Racine,Wisconsin,56.16666667,45.5,1807.5,14.06666667,0.517833333,0.2535,0.245333333,3.811111111,13.80555556,8.75,10.94444444,2.088888889,0.638888889,10.67222222,21.01666667,#DIV/0!,1.544444444,1.577777778,3.122222222,0.079333333,#DIV/0!,-0.188888889,-0.266666667,-0.455555556,0.938888889,292.1666667,676.8333333,0.426111111,49.22222222,141,0.3295,242.9444444,535.8333333,0.447444444,0.470777778,156.6111111,185.1111111,0.838,68.22222222,213.8333333,282.0555556,124.7222222,73.66666667,14.27777778,100.7777778,135.6666667,790.1666667
2854,Rasual Butler,201,97,La Salle University,1979,Philadelphia,Pennsylvania,57.06666667,17.86666667,1199.266667,10.34,0.514,0.4836,0.122,1.68,10.97333333,6.366666667,6.08,0.826666667,1.753333333,8.58,17.44666667,#DIV/0!,0.38,0.973333333,1.386666667,0.060666667,#DIV/0!,-1.513333333,-1.126666667,-2.64,-0.06,158.1333333,394.8666667,0.4066,63.8,177.0666667,0.370266667,94.33333333,217.8,0.436733333,0.497133333,40.86666667,54.86666667,0.716428571,20.46666667,113.6,134.0666667,45.66666667,19.73333333,28.2,36.8,77.93333333,420.9333333
2855,Dan Dickau,183,86,Gonzaga University,1978,Portland,Oregon,41.4,10.3,700.1,9.74,0.476,0.3504,0.2578,2.03,7.88,4.94,24.45,2.04,0.14,17.38,20.86,#DIV/0!,0.54,0.41,0.92,0.0104,#DIV/0!,-2.05,-2.86,-4.92,0.03,95.1,237.1,0.3631,27.4,80,0.3466,67.7,157.1,0.3637,0.4244,55.1,66.3,0.8093,11.6,49.5,61.1,113.7,25.7,1.5,49.5,75.9,272.7
2856,Juan Dixon,190,74,University of Maryland,1978,Baltimore,Maryland,51.81818182,7.545454545,1009.363636,12.17272727,0.498727273,0.297545455,0.161909091,2.2,9.636363636,5.872727273,17.00909091,1.972727273,0.290909091,13.87272727,22.4,#DIV/0!,0.154545455,0.581818182,0.754545455,0.034,#DIV/0!,-1.063636364,-1.881818182,-2.936363636,-0.2,164.0909091,395.8181818,0.414,40,115.4545455,0.356727273,124.0909091,280.3636364,0.440545455,0.466454545,60.81818182,72.63636364,0.817818182,17.90909091,77.45454545,95.36363636,90.45454545,39.81818182,4.090909091,64.27272727,88.36363636,429
2857,Melvin Ely,208,117,"California State University, Fresno",1978,Harvey,Illinois,36.81818182,5,574,8.236363636,0.481545455,0.001090909,0.401090909,7.036363636,14.36363636,10.67272727,6.654545455,0.890909091,2.427272727,15.99090909,16.9,#DIV/0!,-0.118181818,0.445454545,0.327272727,0.016,#DIV/0!,-4.718181818,-0.190909091,-4.872727273,-0.254545455,73.81818182,162,0.438363636,0,0.272727273,0,73.81818182,161.7272727,0.438909091,0.438363636,41.54545455,66.27272727,0.6279,42.09090909,73.18181818,115.2727273,25.36363636,9.545454545,19.72727273,38.18181818,74.18181818,189.1818182
2858,Reggie Evans,203,111,University of Iowa,1980,Pensacola,Florida,54.70588235,24.52941176,1050.823529,11.58235294,0.503705882,0.004058824,0.876588235,14.77647059,28.46470588,21.62941176,4.152941176,1.888235294,0.552941176,21.57647059,12.71176471,#DIV/0!,0.470588235,1.352941176,1.817647059,0.077647059,#DIV/0!,-2.935294118,0.3,-2.611764706,-0.041176471,77,164.5294118,0.464470588,0.058823529,0.705882353,0.125,76.94117647,163.8235294,0.466176471,0.464588235,74.17647059,140.1764706,0.532235294,133.5294118,254.7647059,388.2941176,30.41176471,37.82352941,7.529411765,61.17647059,128.2352941,228.2352941
2859,Dan Gadzuric,211,108,"University of California, Los Angeles",1978,Den Haag,Netherlands,47.41666667,14.41666667,688,11.14166667,0.436916667,0.004166667,0.375166667,13.375,21.29166667,17.25833333,3.9,1.775,4.466666667,14.91666667,16.05833333,#DIV/0!,0.45,0.841666667,1.341666667,0.048583333,#DIV/0!,-4.458333333,1.041666667,-3.425,0.091666667,91.91666667,185.75,0.430083333,0,0.75,0,91.91666667,185,0.431916667,0.430083333,31.41666667,63.66666667,0.421333333,81.75,123.3333333,205.0833333,17.5,21.25,39.75,32.16666667,111.75,215.25
2860,Manu Ginobili,198,92,,1977,Bahia Blanca,Argentina,66.13333333,23.26666667,1704,20.29333333,0.582733333,0.400933333,0.391,3.013333333,12.82666667,8.033333333,24.87333333,2.753333333,0.88,15.25333333,24.34666667,#DIV/0!,3.886666667,3.066666667,6.953333333,0.191333333,#DIV/0!,3.74,1.253333333,4.993333333,3.133333333,292.2,653.2666667,0.448666667,95.4,257.5333333,0.370533333,196.8,395.7333333,0.500333333,0.523133333,218,263.8666667,0.8214,44.4,192.6,237,255.8666667,89.93333333,20.2,134.0666667,139.0666667,897.8
2861,Gordan Giricek,198,95,,1977,Zagreb,Croatia,45.30769231,22.76923077,1064.923077,11.28461538,0.514846154,0.271923077,0.180384615,2.246153846,10.69230769,6.438461538,11.56923077,1.392307692,0.423076923,13.28461538,20.93846154,#DIV/0!,0.592307692,0.376923077,0.969230769,0.037153846,#DIV/0!,-1.292307692,-2.115384615,-3.4,-0.261538462,171,388.7692308,0.431923077,36.15384615,98.92307692,0.362076923,134.8461538,289.8461538,0.457769231,0.481384615,64.69230769,78.07692308,0.844461538,20.76923077,94.69230769,115.4615385,69.61538462,27.23076923,5.692307692,62.84615385,87.23076923,442.8461538
