Year,Field.Goals,Field.Goal.Attempts,Field.Goal.Percentage,Two.Point.Field.Goals,Two.Point.Field.Goal.Attempts,Two.Point.Field.Goal.Percentage,Free.Throws,Free.Throw.Attempts,Free.Throw.Percentage,Total.Rebounds,Assists,Personal.Fouls,Points
2001,169.9981378,384.1564246,0.421885338,147.4897579,320.301676,0.435400376,88.06145251,117.9310987,0.715310891,204.7337058,104.3035382,108.2085661,450.566108
2002,183.03,411.97,0.425301811,156.57,336.936,0.443256048,90.206,119.848,0.719845679,212.782,111.974,107.348,482.726
2003,185.7784679,421.0517598,0.412744813,159.0020704,344.2380952,0.429078838,96.01656315,126.5569358,0.727707527,218.873706,112.5983437,112.9151139,494.3498965
2004,161.0512821,367.5282051,0.415235395,137.4803419,299.6512821,0.428649485,82.82393162,110.2102564,0.726693694,194.9179487,98.3008547,99.67350427,428.4974359
2005,167.5675214,376.1931624,0.426749571,140.8273504,301.1401709,0.443030875,90.62393162,119.974359,0.724776786,193.9589744,100.1111111,106.5589744,452.4991453
2006,169.2539964,373.8650089,0.434014311,142.0337478,297.669627,0.453639785,92.48845471,124.2451155,0.710378026,192.5523979,97.3285968,108.1545293,458.2166963
2007,183.7771318,402.0639535,0.432647173,153.1085271,316.2713178,0.45346771,98.69379845,130.9089147,0.724264,204.7344961,108.9689922,111.3875969,496.9166667
2008,168.0588235,368.5294118,0.433505902,138.6403361,287.0436975,0.455212838,83.97647059,111.7260504,0.714838938,192.297479,98.77142857,96.46722689,449.512605
2009,173.8058419,380.5463918,0.441250865,141.9690722,293.7164948,0.461391681,88.79725086,115.1237113,0.729467626,192.6804124,98.70962199,98.895189,468.2457045
2010,175.6782007,382.6314879,0.441784348,145.6851211,297.5380623,0.469453752,87.07612457,114.8581315,0.712639138,195.8131488,98.50519031,97.96539792,468.4256055
2011,167.9296,368.3392,0.438104502,137.6864,283.6752,0.461536232,83.8512,109.7456,0.718449664,185.0944,98.3888,94.88,449.9536
2012,138.2141561,309.0598911,0.431281307,114.030853,239.5916515,0.458076225,64.01088929,85.23411978,0.71701711,160.5045372,79.89836661,74.75499093,364.6225045
2013,169.8150087,376.2931937,0.426453427,136.6527051,283.8708551,0.453652021,75.63525305,100.5410122,0.710943739,192.0767888,102.1780105,91.41884817,448.4275742
2014,164.8739771,364.7594108,0.430008278,130.497545,269.1162029,0.461913621,77.74795417,102.7561375,0.717604491,186.908347,97.07037643,91.23895254,441.8723404
2015,160.7788018,359.7634409,0.427403698,126.8617512,262.344086,0.461369397,72.59293395,96.906298,0.722800319,183.7127496,95.96006144,87.19969278,428.0675883
2016,173.3685121,384.9204152,0.442511304,134.3979239,274.3858131,0.477975439,79.92906574,105.6211073,0.739877256,197.5882353,102.384083,92.67474048,465.6366782
2017,175.4655462,384.6588235,0.441249578,131.5327731,261.7411765,0.486452542,79.86890756,103.6638655,0.737637478,196.3630252,101.0537815,90.22689076,474.7327731
